TAIR ENTREZID
AT1G13270 837887
AT1G13280 837888
AT1G13290 837889
AT1G13300 837890
AT1G13310 837891
AT1G13320 837892
AT1G13330 837893
AT1G13340 837894
AT1G13350 837895
AT1G13360 837896
AT1G13370 837897
AT1G13380 837898
AT1G13390 837899
AT1G13400 837900
AT1G13410 837901
AT1G13420 837902
AT1G13430 837903
AT1G13440 837904
AT1G13450 837905
AT1G13460 837906
AT1G13470 837907
AT1G13480 837908
AT1G13485 7922295
AT1G13490 837909
AT1G13500 837910
AT1G13510 837911
AT1G13520 837912
AT1G13530 837913
AT1G13540 837914
AT1G13550 837916
AT1G13560 837917
AT1G13570 837918
AT1G13580 837919
AT1G13590 837920
AT1G13600 837921
AT1G13605 3766718
AT1G13607 3766719
AT1G13608 3766720
AT1G13609 3766721
AT1G13610 837922
AT1G13620 837923
AT1G13630 837924
AT1G13635 2745751
AT1G13640 837925
AT1G13650 837926
AT1G13670 837928
AT1G13680 837929
AT1G13690 837930
AT1G13700 837931
AT1G13710 837932
AT1G13730 837933
AT1G13740 837934
AT1G13750 837935
AT1G13755 3766724
AT1G13760 837936
AT1G13770 837937
AT1G13780 837938
AT1G13790 837939
AT1G13800 837941
